country,n,pearson_r_log10gdp_life,pearson_pvalue,spearman_r_gdp_life,spearman_pvalue
Afghanistan,16,0.5118347312551275,0.042690253786321686,0.7422688462297808,0.0009919219225543612
Albania,16,0.5122187210081557,0.04250857335736492,0.6294117647058822,0.008988089264446917
Algeria,16,0.3508547685581703,0.18272673906963527,0.5705882352941177,0.02099069636821777
Angola,16,0.5098835685301314,0.043622432488298904,0.4676470588235294,0.06776085019015395
Antigua and Barbuda,16,0.14679609378249292,0.5874693149381724,0.5588235294117647,0.02443651142450573
Argentina,16,0.6657813689818232,0.004872739705310833,0.805313238289739,0.0001669683696834233
Armenia,16,0.3821605434567354,0.14407794295012444,0.5929229336858518,0.015491162603167463
Australia,16,0.2949754727655608,0.26738716717351046,0.5497422273824314,0.027381126651537514
Austria,16,0.3283166158695678,0.21441755009132824,0.7393233349352182,0.0010648339830148313
Azerbaijan,16,0.2764275265558398,0.30002050428443583,0.33456235037322035,0.20530554274633397
Bahrain,16,-0.07290660191857173,0.7884477447630291,0.2413540020591567,0.3678433140832261
Bangladesh,16,0.562427674568295,0.023337826315863855,0.7205882352941175,0.0016381911638796126
Barbados,16,0.17396106378305143,0.5193543018737959,0.4705882352941176,0.06581947250108118
Belarus,16,-0.026184024847971638,0.9233174622893233,0.3846730107815441,0.14123985787050083
Belgium,16,0.11114288954620857,0.6819654832325971,0.29476859063719857,0.2677386847936785
Belize,16,0.07409830495376275,0.7850647056612661,0.7134486592267292,0.0019138326151925335
Benin,16,0.44353092380857206,0.08528411167152726,0.7352941176470589,0.0011716155350991778
Bhutan,16,0.47350934304276104,0.06393190117370948,0.6823529411764706,0.003587970411756722
Bosnia and Herzegovina,16,0.08136652836036506,0.7645114727401072,0.23988233131489353,0.3708608738291441
Botswana,16,-0.012964463368536489,0.9619929692112328,0.4735294117647058,0.06391907182682008
Brazil,16,0.4570833385002659,0.07507871774874383,0.5489331876101552,0.02765604884366153
Brunei Darussalam,16,0.3295395692232742,0.21261333383874714,0.3399559419247878,0.19764090965476153
Bulgaria,16,0.7577316677944604,0.0006729039195160491,0.9124358614431533,8.375279406770402e-07
Burkina Faso,16,0.4837882827631662,0.05760436248695609,0.6754968716167861,0.00408148600450748
Burundi,16,0.10893044918640782,0.6879963902670012,0.37969105201989284,0.1469050501601174
Cabo Verde,16,0.08867431471137682,0.7439938865083762,0.2400591705068537,0.37049755795269135
Cambodia,16,0.4977882700864851,0.04974493348250084,0.3941176470588235,0.13091285429899105
Cameroon,16,0.45977696067708745,0.07316077321683154,0.7558823529411764,0.0007058905869098943
Canada,16,-0.021917402794594157,0.9357863556124614,0.2400591705068537,0.37049755795269135
Central African Republic,16,0.49531056844289556,0.0510741503954152,0.7349050679933742,0.0011823728375699141
Chad,16,0.16585691043738066,0.5392894487816412,0.34289928341331405,0.19353772308038864
Chile,16,0.5462943967458652,0.028567428063386868,0.5125189652538963,0.042366920562623284
China,16,0.4748206168498563,0.06309759923164512,0.4205882352941176,0.10476751392918707
Colombia,16,-0.02004325329980372,0.9412680093943335,0.22844565774382888,0.3947716900386329
Comoros,16,-0.28694241001190873,0.2812431798604944,0.4542792626249809,0.07711372505691015
Costa Rica,16,-0.08957435109600834,0.7414777473961791,0.0014738429531859925,0.9956778016013029
Croatia,16,0.593970421906008,0.015264104789814286,0.6342900907774178,0.008315422580891777
Cuba,16,-0.3884058047020934,0.13709408597524492,-0.1002213208166475,0.7119053851805491
Cyprus,16,-0.3794738639321549,0.1471554775222402,-0.01764705882352941,0.9482801500547112
Denmark,16,0.10333239894128898,0.7033343809868882,0.5301920330212719,0.03463505275801569
Djibouti,16,0.21814346510243887,0.41699956070794575,0.4941176470588235,0.051723442249235474
Dominican Republic,16,0.1741254373126018,0.5189534945322956,0.4356145403018926,0.09168621897163183
Ecuador,16,0.26850685191198687,0.31464260250394566,0.461995765290083,0.07160782399682099
El Salvador,16,-0.18366681455813702,0.49593406148619745,0.39114657444687545,0.13410365662251356
Equatorial Guinea,16,0.1530564707087507,0.571451300213172,0.19411764705882353,0.47128972836210736
Eritrea,12,0.5979276303271206,0.04002518098156148,0.8391608391608393,0.0006428259886278202
Estonia,16,-0.014884703357999761,0.9563681988771932,0.17083965508463209,0.5269923416729978
Ethiopia,16,0.6411086115843588,0.007442722799747546,0.7647058823529411,0.0005596762943567445
Fiji,16,0.423098022910822,0.10249619283145536,0.6882352941176471,0.0032039086143957423
Finland,16,0.10622360391854022,0.6953990104903849,0.13823529411764704,0.6096659407501825
France,16,-0.23589546210071163,0.37910388028178904,0.326951753696451,0.21644265987261652
Gabon,16,0.4314732589749108,0.09516846674948505,0.5682695515548946,0.021638170788935894
Georgia,16,0.6345084011488544,0.008286280453006981,0.7745114016180463,0.00042740100728741985
Germany,16,-0.48980276357383756,0.05412319209984874,0.04270991377115802,0.8752038775690698
